Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
AKP,Audio Pixels Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000AKP0,AKP,Audio Pixels Holdings Ltd
AL3,AML3D Ltd,Australia,AU,AUD,Common Stock,AU0000079212,AL3,AML3D Ltd
ALA,Arovella Therapeutics Ltd,Australia,AU,AUD,Common Stock,AU0000182784,ALA,Arovella Therapeutics Ltd
ALB,Albion Resources Ltd,Australia,AU,AUD,Common Stock,AU0000142002,ALB,Albion Resources Ltd
ALC,Alcidion Group Ltd,Australia,AU,AUD,Common Stock,AU000000ALC6,ALC,Alcidion Group Ltd
ALD,Ampol Ltd,Australia,AU,AUD,Common Stock,AU0000088338,ALD,Ampol Ltd
ALFA,Vaneck Australian Long Short Complex ETF,Australia,AU,AUD,ETF,,ALFA,Vaneck Australian Long Short Complex ETF
ALI,Argo Global Listed Infrastructure Ltd,Australia,AU,AUD,Common Stock,AU000000ALI3,ALI,Argo Global Listed Infrastructure Ltd
ALK,Alkane Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ALK9,ALK,Alkane Resources Ltd
ALL,Aristocrat Leisure Ltd,Australia,AU,AUD,Common Stock,AU000000ALL7,ALL,Aristocrat Leisure Ltd
ALM,Alma Metals Ltd,Australia,AU,AUD,Common Stock,AU0000195380,ALM,Alma Metals Ltd
ALPH,Schroder Global Equity Alpha Fund - Active ETF,Australia,AU,AUD,ETF,,ALPH,Schroder Global Equity Alpha Fund - Active ETF
ALQ,Als Ltd,Australia,AU,AUD,Common Stock,AU000000ALQ6,ALQ,Als Ltd
ALR,Altair Minerals Ltd,Australia,AU,AUD,Common Stock,,ALR,Altair Minerals Ltd
ALTB,Ishares 15+ Year Australian Government Bond ETF,Australia,AU,AUD,ETF,,ALTB,Ishares 15+ Year Australian Government Bond ETF
ALV,Alvo Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000168999,ALV,Alvo Minerals Ltd
ALX,Atlas Arteria,Australia,AU,AUD,Common Stock,AU0000013559,ALX,Atlas Arteria
ALY,Alchemy Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ALY0,ALY,Alchemy Resources Ltd
AM5,Antares Metals Ltd,Australia,AU,AUD,Common Stock,,AM5,Antares Metals Ltd
AM7,Arcadia Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000145815,AM7,Arcadia Minerals Ltd
AMA,AMA Group Ltd,Australia,AU,AUD,Common Stock,AU000000AMA8,AMA,AMA Group Ltd
AMC,Amcor Plc,Australia,AU,AUD,Common Stock,AU000000AMC4,AMC,Amcor Plc
AMD,Arrow Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000AMD2,AMD,Arrow Minerals Ltd
AMH,Amcil Ltd,Australia,AU,AUD,Common Stock,AU000000AMH3,AMH,Amcil Ltd
AMI,Aurelia Metals Ltd,Australia,AU,AUD,Common Stock,AU000000AMI1,AMI,Aurelia Metals Ltd
AMN,Agrimin Ltd,Australia,AU,AUD,Common Stock,AU000000AMN1,AMN,Agrimin Ltd
AMO,Ambertech Ltd,Australia,AU,AUD,Common Stock,AU000000AMO9,AMO,Ambertech Ltd
AMP,AMP Ltd,Australia,AU,AUD,Common Stock,AU000000AMP6,AMP,AMP Ltd
AMS,Atomos Ltd,Australia,AU,AUD,Common Stock,AU0000033870,AMS,Atomos Ltd
AMX,Aerometrex Ltd,Australia,AU,AUD,Common Stock,AU0000064560,AMX,Aerometrex Ltd
AN1,Anagenics Ltd,Australia,AU,AUD,Common Stock,AU0000198095,AN1,Anagenics Ltd
AN3PI,Australia and New Zealand Banking Group Ltd,Australia,AU,AUD,Common Stock,,AN3PI,Australia and New Zealand Banking Group Ltd
AN3PJ,Australia and New Zealand Banking Group Ltd,Australia,AU,AUD,Common Stock,,AN3PJ,Australia and New Zealand Banking Group Ltd
AN3PK,Australia and New Zealand Banking Group Ltd,Australia,AU,AUD,Common Stock,,AN3PK,Australia and New Zealand Banking Group Ltd
AN3PL,Australia and New Zealand Banking Group Ltd,Australia,AU,AUD,Common Stock,,AN3PL,Australia and New Zealand Banking Group Ltd
ANG,Austin Engineering Ltd,Australia,AU,AUD,Common Stock,AU000000ANG3,ANG,Austin Engineering Ltd
ANN,Ansell Ltd,Australia,AU,AUD,Common Stock,AU000000ANN9,ANN,Ansell Ltd
ANO,Advance Zinctek Ltd,Australia,AU,AUD,Common Stock,AU000000ANO7,ANO,Advance Zinctek Ltd
ANR,Anatara Lifesciences Ltd,Australia,AU,AUD,Common Stock,AU000000ANR0,ANR,Anatara Lifesciences Ltd
ANX,ANAX Metals Ltd,Australia,AU,AUD,Common Stock,AU0000111114,ANX,ANAX Metals Ltd
ANZ,ANZ Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000ANZ3,ANZ,ANZ Group Holdings Ltd
AO1,Assetowl Ltd,Australia,AU,AUD,Common Stock,AU000000AO10,AO1,Assetowl Ltd
