date,open,high,low,close,close,volume
2023-11-24,103.1,104.05,103.0,103.69,97.0794,1275404
2023-11-27,104.02,104.02,102.61,102.61,96.0682,1288697
2023-11-28,102.5,103.86,102.35,103.34,96.7517,1397249
2023-11-29,103.79,104.05,103.2,103.33,96.7423,1277217
2023-11-30,103.55,104.66,103.25,104.66,97.9875,5016298
2023-12-01,104.65,104.66,103.75,104.19,97.5475,1781950
2023-12-04,104.95,105.58,104.59,105.12,98.4182,2121950
2023-12-05,104.99,104.99,104.41,104.71,98.0343,1417376
2023-12-06,105.49,106.72,105.24,106.34,99.5604,3135300
2023-12-07,105.98,106.54,105.7,106.27,99.4949,1747083
2023-12-08,105.77,106.44,105.22,106.44,99.654,1434178
2023-12-11,106.67,107.455,106.64,106.94,100.1222,1395078
2023-12-12,106.73,107.64,106.65,107.41,100.5622,1406122
2023-12-13,107.8,108.39,107.605,108.15,101.255,1727766
2023-12-14,108.92,109.52,108.63,109.52,102.5377,2593767
2023-12-15,110.0,110.5,109.52,110.07,103.0526,7159356
2023-12-18,109.5,110.13,109.14,110.0,102.9871,1300270
2023-12-19,110.35,110.89,109.65,110.6,103.5488,1966065
2023-12-20,110.8,111.15,110.65,110.97,103.8952,2090455
2023-12-21,110.73,110.86,110.01,110.56,103.5114,2830850
2023-12-22,110.19,110.83,110.16,110.5,103.4552,3097447
2023-12-27,111.12,111.85,110.76,111.19,104.1012,1017160
2023-12-28,111.81,112.29,111.56,112.29,105.1311,1735707
2023-12-29,112.15,112.37,111.43,111.8,104.6723,2170375
2024-01-02,111.85,113.61,111.79,113.61,106.3669,1628690
2024-01-03,112.6,112.98,112.02,112.13,104.9813,1207784
2024-01-04,112.3,112.325,110.94,111.49,104.3821,1380616
2024-01-05,112.0,113.24,111.9,112.99,105.7865,1502441
2024-01-08,112.76,113.22,111.87,111.98,104.8408,1784232
2024-01-09,113.28,113.3,112.64,113.02,105.8145,1510571
2024-01-10,112.97,113.3,112.04,112.04,104.897,1415900
2024-01-11,112.5,113.66,112.24,113.6,106.3576,1667803
2024-01-12,113.0,113.8,112.8,113.63,106.3857,1678657
2024-01-15,113.5,114.0,113.15,113.66,106.4137,1062194
2024-01-16,113.5,113.66,112.8,113.0,105.7958,1896379
2024-01-17,112.82,112.99,111.71,112.33,105.1685,2189913
2024-01-18,111.37,112.91,111.37,112.48,105.309,2131509
2024-01-19,113.12,113.9,112.71,113.28,106.058,4107588
2024-01-22,114.0,114.85,113.55,114.8,107.4811,2353571
2024-01-23,114.9,115.98,114.71,115.66,108.2862,2197384
2024-01-24,116.0,116.0,114.53,114.7,107.3874,1509853
2024-01-25,115.0,115.14,114.0,114.86,107.5372,1967920
2024-01-29,116.0,116.0,115.0,115.92,108.5297,2017654
2024-01-30,116.12,116.94,115.77,116.05,108.6514,1982285
2024-01-31,116.0,118.24,115.205,117.53,110.037,4128431
2024-02-01,116.65,116.8,114.1,114.1,106.8257,2593915
2024-02-02,114.81,116.12,114.43,115.81,108.4267,2545023
2024-02-05,115.02,115.48,113.97,115.48,108.1177,1142496
2024-02-06,115.32,115.64,114.15,114.37,107.0785,1997385
2024-02-07,114.92,115.64,114.22,114.55,107.247,1737069
2024-02-08,115.14,116.0,114.44,115.87,108.4828,1366549
2024-02-09,116.27,116.75,116.01,116.24,108.8293,2086972
2024-02-12,116.5,116.78,115.55,115.73,108.3518,1005660
2024-02-13,117.26,117.75,116.0,116.0,108.6046,1758908
2024-02-14,113.16,114.07,111.56,114.07,106.7976,2740465
2024-02-15,113.5,115.17,113.26,114.16,106.8819,2315896
2024-02-16,115.75,116.28,114.78,116.28,108.8667,3844462
2024-02-19,115.86,117.29,115.62,117.13,109.6625,1386827
2024-02-20,117.4,117.8,116.06,116.95,109.494,1772794
2024-02-21,114.31,115.96,114.1,114.62,109.3223,3281940
2024-02-22,115.0,115.0,113.31,114.45,109.1602,1691941
2024-02-23,115.33,115.88,114.57,114.83,109.5226,1576082
2024-02-26,115.32,115.99,115.07,115.92,110.5622,1623264
2024-02-27,116.2,117.12,115.535,117.12,111.7068,2199043
2024-02-28,117.25,117.3,115.67,115.96,110.6004,1605950
2024-02-29,116.18,116.76,115.23,116.41,111.0296,4036090
2024-03-01,116.75,117.36,116.2,117.36,111.9357,1547236
2024-03-04,117.55,118.55,117.36,118.12,112.6605,1657258
2024-03-05,118.6,118.7,116.77,116.94,111.5351,1985735
2024-03-06,117.0,118.41,116.68,118.31,112.8418,1499396
2024-03-07,118.5,119.37,118.39,119.25,113.7383,2404787
2024-03-08,119.54,121.54,119.02,121.45,115.8366,3693739
2024-03-11,119.99,120.23,117.93,118.13,112.6701,1771965
2024-03-12,119.02,120.08,117.51,117.74,112.2981,1912342
2024-03-13,118.01,118.22,116.82,117.55,112.1169,1749751
2024-03-14,117.54,117.56,115.34,116.22,110.8484,1972503
2024-03-15,115.0,115.54,114.0,115.54,110.1998,5370902
2024-03-18,115.4,116.56,115.27,116.46,111.0773,1471598
2024-03-19,116.43,116.44,115.33,115.78,110.4287,1817662
2024-03-20,116.3,116.87,115.65,115.65,110.3047,2011037
2024-03-21,117.1,118.05,116.54,118.0,112.5461,3579903
2024-03-22,118.3,118.35,116.56,117.48,112.0501,3825604
2024-03-25,118.25,118.99,117.49,118.79,113.2996,1974708
2024-03-26,118.9,119.485,118.57,118.6,113.1184,1676353
2024-03-27,118.77,120.19,118.51,120.0,114.4536,2340622
2024-03-28,120.56,120.56,119.4,120.34,114.7779,2679602
2024-04-02,119.4,120.6,119.3,120.07,114.5204,2314881
2024-04-03,119.63,119.93,117.64,117.81,112.3649,2016061
2024-04-04,118.6,119.07,117.97,118.35,112.8799,1282364
2024-04-05,117.07,118.17,116.63,118.04,112.5842,1387617
2024-04-08,118.78,119.02,117.7,118.19,112.7273,1171497
2024-04-09,118.72,119.15,118.48,119.15,113.6429,1013230
2024-04-10,119.15,119.21,117.98,118.21,112.7464,1720573
2024-04-11,116.34,116.99,116.1,116.81,111.4111,1787099
2024-04-12,116.37,116.69,116.01,116.24,110.8674,1381123
2024-04-15,115.2,115.3,114.295,114.64,109.3414,2434316
2024-04-16,113.58,113.74,111.63,112.2,107.0142,3226640
2024-04-17,112.16,112.8,111.94,111.94,106.7662,1405392
2024-04-18,111.73,113.16,111.73,112.73,107.5197,1590709
2024-04-19,111.65,112.51,109.94,111.86,106.6899,3489190
2024-04-22,113.09,113.68,112.39,112.88,107.6627,1946178
2024-04-23,114.0,114.58,113.7,114.58,109.2842,1197831
2024-04-24,115.5,115.85,115.0,115.0,109.6847,1600191
2024-04-26,114.45,114.56,112.77,112.99,107.7676,1672386
2024-04-29,114.0,114.2,113.66,113.84,108.5784,1374832
2024-04-30,113.65,114.54,113.42,114.54,109.246,1315376
2024-05-01,113.6,114.11,113.0,113.92,108.6547,1187570
2024-05-02,114.69,115.84,114.02,115.0,109.6847,1617735
2024-05-03,115.76,115.76,114.74,115.23,109.9041,1800802
2024-05-06,116.01,116.59,115.78,116.59,111.2013,1503067
2024-05-07,117.57,119.0,116.89,119.0,113.4999,2718495
2024-05-08,119.5,119.9,118.46,119.74,114.2057,2104415
2024-05-09,119.7,119.7,117.09,117.09,111.6781,1838458
2024-05-10,117.71,118.35,117.25,117.54,112.1073,1483110
2024-05-13,117.54,119.12,117.06,119.12,113.6143,1751999
2024-05-14,118.7,119.33,118.535,119.33,113.8146,1500344
2024-05-15,119.5,120.07,119.28,119.93,114.3869,1820801
2024-05-16,121.0,122.55,120.2,122.26,116.6092,3212284
2024-05-17,121.5,121.79,120.34,121.04,115.4456,3747916
2024-05-20,121.0,121.86,120.95,121.77,116.1418,1231703
2024-05-21,121.69,121.79,120.92,121.79,116.1609,1557576
2024-05-22,122.07,122.35,121.3,121.5,115.8843,1428336
